RK,TEAM,PACE,AST,TO,ORR,DRR,REBR,EFF FG%,TS%,OFF EFF,DEF EFF
1.0,Utah,100.3,16.8,12.9,24.1,0.0,52.1,55.7,59.1,113.4,106.7
2.0,Atlanta,99.8,18.3,11.3,22.6,0.0,50.4,53.9,57.6,112.2,111.4
3.0,Phoenix,100.5,19.4,11.7,23.4,0.0,51.3,54.3,57.6,111.9,103.3
4.0,Chicago,100.5,18.3,11.9,20.6,0.0,49.5,54.5,58.2,111.5,109.2
5.0,Milwaukee,100.7,17.3,12.2,23.3,0.0,51.4,54.0,57.3,110.8,106.8
6.0,Miami,97.1,19.2,13.7,25.4,0.0,52.2,54.0,57.7,110.5,105.2
7.0,Memphis,101.4,17.8,11.4,29.9,0.0,53.7,51.8,54.8,110.2,105.7
8.0,Denver,99.0,20.0,12.8,21.3,0.0,50.4,54.8,57.8,110.0,108.7
9.0,Golden State,99.9,19.8,13.9,23.3,0.0,52.4,55.1,58.1,109.6,101.2
10.0,Brooklyn,100.6,18.4,12.5,23.6,0.0,50.4,53.1,56.8,109.4,108.5
,Charlotte,102.8,19.1,11.5,22.5,0.0,48.3,53.2,56.0,109.4,110.3
12.0,Toronto,97.7,16.4,11.5,28.6,0.0,50.9,51.3,54.5,109.2,107.5
13.0,Philadelphia,98.1,17.8,11.7,19.5,0.0,48.3,53.0,57.0,109.1,106.9
14.0,Minnesota,102.8,17.8,12.6,25.6,0.0,49.4,52.6,55.8,109.0,107.8
15.0,Boston,99.0,17.5,12.8,23.9,0.0,51.1,52.3,56.1,108.3,103.0
16.0,Dallas,97.0,18.1,11.7,21.5,0.0,50.2,52.6,56.0,108.2,104.8
,San Antonio,102.1,19.6,11.2,24.1,0.0,49.4,52.3,54.9,108.2,108.6
18.0,Cleveland,98.6,18.8,13.6,24.3,0.0,51.0,53.4,56.5,107.9,103.6
19.0,Portland,100.0,17.1,12.5,22.7,0.0,50.0,52.4,55.8,107.5,111.7
20.0,Indiana,99.8,17.7,12.7,24.9,0.0,50.7,52.1,55.4,107.3,110.9
21.0,Washington,98.3,18.0,12.2,21.3,0.0,49.9,52.1,55.8,107.1,109.8
22.0,Sacramento,102.1,17.2,12.5,22.7,0.0,48.8,52.1,55.5,106.9,112.1
23.0,LA Lakers,102.4,17.6,13.1,21.0,0.0,48.7,53.4,56.2,106.7,107.9
24.0,New York,97.2,16.4,12.4,25.3,0.0,51.5,51.1,54.5,106.6,107.0
25.0,New Orleans,98.4,18.1,12.9,26.1,0.0,52.0,50.4,54.4,105.7,109.8
26.0,LA Clippers,99.9,17.5,12.9,20.2,0.0,48.1,52.2,55.5,105.2,106.5
27.0,Houston,102.3,16.8,15.0,22.3,0.0,49.0,52.9,56.1,104.3,113.5
28.0,Orlando,101.2,17.3,13.2,20.1,0.0,48.2,50.1,53.6,101.4,110.0
29.0,Detroit,100.3,16.6,12.9,22.8,0.0,48.2,48.2,52.2,100.4,110.4
,Oklahoma City,100.1,16.0,12.3,22.1,0.0,48.7,48.4,51.8,100.4,107.2
